r,g,b,y
0.49073565,0.5918099,0.3951744,0
0.5423103,0.62614655,0.4007742,0
0.510771,0.60014516,0.35419062,0
0.6001637,0.6411644,0.39724645,0
0.5323808,0.615973,0.41676417,1
0.59392804,0.6648097,0.43057048,1
0.5876018,0.6412582,0.39684695,1
0.5545554,0.6214813,0.40215236,1
0.5944242,0.6543885,0.42580438,1
0.61191636,0.624205,0.44962132,1
0.58967644,0.6432387,0.39486656,1
0.5325188,0.61694574,0.38740227,1
0.5221923,0.58266485,0.39016488,1
0.62225246,0.63359326,0.43109518,1
0.6284163,0.6441677,0.47094905,1
0.63368225,0.6482029,0.46649736,1
0.6142334,0.62728775,0.4317019,1
0.5820268,0.59660006,0.40190175,1
0.61104786,0.66443694,0.42932576,1
0.5543041,0.62058276,0.43017045,1
0.57370466,0.64501774,0.44083208,1
0.6212311,0.6322968,0.43008277,1
0.55270565,0.6144641,0.42737946,1
0.58279926,0.6443975,0.41414583,1
0.58564997,0.6021376,0.4052865,1
0.6067785,0.62242,0.4267676,1
0.5611592,0.63502693,0.4115858,1
0.5665416,0.6328607,0.41077256,1
0.5861586,0.6359297,0.40660593,1
0.59978014,0.65458083,0.39969802,1
0.6162012,0.6376692,0.46134612,1
0.53677595,0.60940856,0.401271,1
0.5701358,0.6283886,0.4445689,1
0.536786,0.61553776,0.41247496,1
0.6103615,0.624408,0.4220212,1
0.6216629,0.62858504,0.42126018,1
0.6245901,0.638743,0.46137467,1
0.56746256,0.6231206,0.40294293,1
0.60965556,0.6155118,0.4162734,1
0.55625695,0.60946274,0.36387643,1
0.5388236,0.6238674,0.42454606,1
0.5980431,0.6112586,0.417988,1
0.6165478,0.62926835,0.42999402,1
0.56792253,0.62354296,0.4037991,1
0.5751691,0.63585883,0.44902626,1
0.5681872,0.6487363,0.41823456,1
0.572047,0.6394008,0.42286244,1
0.56693614,0.66239005,0.42880422,1
0.57904035,0.64979875,0.4024817,1
0.54902714,0.61178803,0.43229747,1
0.5741418,0.6352492,0.4467199,1
0.6198196,0.6304421,0.42142186,1
0.5649709,0.6334585,0.42772132,1
0.5793015,0.64831644,0.41576058,1
0.58920693,0.66467977,0.44756094,1
0.54377913,0.6077705,0.4147833,1
0.54510915,0.6269694,0.42543828,1
0.60455626,0.66070205,0.40901724,1
0.5552633,0.6368326,0.43252173,1
0.5837072,0.6458499,0.41580954,1
0.5711724,0.6340583,0.4179311,1
0.5640291,0.6404197,0.38963667,1
0.60253686,0.65068156,0.40784618,1
0.530229,0.61329937,0.41931343,1
0.5348443,0.6352976,0.4110077,1
0.5265168,0.58992577,0.39612982,1
0.59151894,0.6482049,0.42107967,1
0.6218879,0.6720889,0.4343322,1
0.58364147,0.63619125,0.39242917,1
0.6256949,0.69735813,0.43691745,1
0.66491765,0.6698479,0.501615,1
0.55931586,0.62700886,0.42761707,1
0.56101584,0.6350846,0.3759193,1
0.57018286,0.64389604,0.4198747,1
0.51172024,0.596301,0.4063486,1
0.57344097,0.6336981,0.3934568,1
0.5763876,0.65061957,0.42050892,1
0.58213294,0.6500879,0.4393583,1
0.5896826,0.59709024,0.39940873,1
0.5739928,0.6317714,0.40051153,1
0.5937729,0.64996386,0.40749034,1
0.5128317,0.5829959,0.39164796,1
0.532244,0.6173937,0.41149753,1
0.54429054,0.6288453,0.43061712,1
0.55422294,0.6301655,0.4011737,1
0.60312665,0.60845333,0.4119303,1
0.5599833,0.6577602,0.45360518,1
0.5368423,0.6036954,0.42696878,1
0.58263427,0.6370553,0.3985555,1
0.5471386,0.60906434,0.4292441,1
0.62594414,0.68024355,0.4316255,1
0.5524062,0.6215945,0.40112728,1
0.5714249,0.6414177,0.41682312,1
0.58635205,0.6453374,0.45864815,1
0.61951053,0.63547134,0.43481666,1
0.5561624,0.6360696,0.43073025,1
0.5665612,0.63028175,0.41192526,1
0.6181465,0.6409457,0.4294395,1
0.46039772,0.56540376,0.34800556,1
0.5688536,0.6387156,0.40474987,1
0.6281797,0.6380613,0.42961606,1
0.55477715,0.6239274,0.41694728,1
0.5592172,0.6316109,0.40824732,1
0.53131616,0.6022912,0.35772845,1
0.5870342,0.64680177,0.40488774,1
0.56587124,0.6405898,0.4221792,1
0.60658824,0.61996186,0.42304406,1
0.5468869,0.6146062,0.4155035,1
0.5885387,0.6658812,0.4516525,1
0.6093998,0.61854583,0.41275564,1
0.5557721,0.6296211,0.4119851,1
0.5937932,0.64689016,0.406213,1
0.63028157,0.6445048,0.46394563,1
0.60032505,0.61906934,0.41876975,1
0.55412036,0.6394624,0.42375058,1
0.5721501,0.63187444,0.44491354,1
0.5537634,0.63572836,0.43553916,1
0.5587639,0.62207675,0.39861736,1
0.5824629,0.62938917,0.39829603,1
0.5727298,0.6416084,0.39769396,1
0.5934153,0.61958355,0.4127514,1
0.5612371,0.62562466,0.44005737,1
0.70924807,0.71768755,0.541941,1
0.62409353,0.6287355,0.443645,1
0.5534815,0.6211502,0.4187356,1
0.5964275,0.65395635,0.41820654,1
0.5842057,0.63577676,0.3935812,1
0.5876948,0.63990647,0.39680406,1
0.6376997,0.6525443,0.4674694,1
0.6137265,0.62744033,0.447555,1
0.5683614,0.62718004,0.39768136,1
0.5640291,0.6404197,0.38963667,1
0.6346113,0.64747125,0.46717575,1
0.5944242,0.6543885,0.42580438,1
0.5652558,0.6511173,0.43633658,1
0.5880325,0.6584135,0.44318473,1
0.5706007,0.6457594,0.40599257,1
0.5824095,0.63825655,0.40300965,1
0.54517597,0.628834,0.42405427,1
0.5683951,0.6352044,0.4002557,1
0.6256539,0.63235694,0.42888114,1
0.5815396,0.6569705,0.44279933,1
0.54779327,0.6229293,0.42888767,1
0.6196294,0.6228233,0.4109257,1
0.61446166,0.6303229,0.4292129,1
0.58009535,0.6462828,0.42622152,1
0.539399,0.6263794,0.40722814,1
0.58274895,0.6535897,0.44653085,1
0.5641752,0.62818563,0.4090135,1
0.5503288,0.62010765,0.43183938,1
0.62934244,0.64416003,0.46784872,1
0.53731257,0.5977119,0.40226895,1
0.6131011,0.66466534,0.42295986,1
0.6142685,0.6288805,0.45719495,1
0.60347944,0.6588082,0.44287026,1
0.58645093,0.67023283,0.43986607,1
0.5895453,0.6632678,0.44992104,1
0.6563941,0.678902,0.46650413,1
0.552489,0.6183391,0.43750477,1
0.5480126,0.6236969,0.41709864,1
0.57978827,0.6030355,0.40642172,1
0.59842104,0.65361494,0.41502458,1
0.56680393,0.64498085,0.4220791,1
0.59831005,0.6159846,0.41842315,1
0.5897809,0.64087117,0.40131974,1
0.56539565,0.65125215,0.4293277,1
0.55445904,0.6204024,0.40089643,1
0.5841435,0.65592635,0.4069764,1
0.62161446,0.6404488,0.463339,1
0.5823825,0.6521038,0.4207928,1
0.6330376,0.6505079,0.47250006,1
0.54867476,0.63267314,0.43047312,1
0.57686985,0.6541878,0.4408305,1
0.59650636,0.65798795,0.4121229,1
0.54062563,0.61366093,0.39309493,1
0.6167633,0.6730932,0.44134724,1
0.6123372,0.62504506,0.42289433,1
0.5947076,0.66586775,0.45218197,1
0.5803183,0.6567746,0.4199592,1
0.5872024,0.6428969,0.39358497,1
0.63676196,0.65170926,0.46822518,1
0.5261749,0.6120659,0.4211989,1
0.53925544,0.6002462,0.40605384,1
0.58661026,0.6405022,0.42350703,1
0.6046962,0.6565324,0.44953784,1
0.56033033,0.6139991,0.42599103,1
0.5493884,0.6240724,0.42844492,1
0.53181225,0.60185826,0.40499783,1
0.60638887,0.6720709,0.44132337,1
0.5697341,0.57883453,0.38088802,1
0.60656863,0.67294264,0.43484035,1
0.61455137,0.67375034,0.4542913,1
0.55512744,0.62684745,0.43890917,1
0.56101584,0.6350846,0.3759193,1
0.5402647,0.616554,0.41245085,1
0.6120761,0.6261938,0.42537498,1
0.6376997,0.6525443,0.4674694,1
0.6049024,0.61868453,0.45653075,1
0.5987177,0.6207859,0.4163193,1
0.60583925,0.61482084,0.41619313,1
0.6200429,0.67470217,0.43770316,1
0.58246267,0.65812767,0.45783013,1
0.5980167,0.6181312,0.42629078,1
0.65218073,0.6585939,0.49617478,1
0.618199,0.6352991,0.4467764,1
0.54734284,0.6303031,0.43201426,1
0.5569251,0.6520094,0.40385327,1
0.5848649,0.6541655,0.41320178,1
0.58067006,0.6626914,0.43548706,1
0.5726089,0.645379,0.41910893,1
0.55146605,0.61480373,0.42806256,1
0.5622338,0.6237595,0.38431576,1
0.6285268,0.6376785,0.43360835,1
0.5939769,0.66649014,0.45483345,1
0.5550228,0.6362627,0.43085107,1
0.566111,0.63277364,0.4168061,1
0.589434,0.66022545,0.4374237,1
0.54952645,0.63210696,0.40841916,1
0.58904946,0.6569732,0.42110753,1
0.56495047,0.62606204,0.41469276,1
0.5605878,0.6475282,0.42845103,1
0.61358845,0.65853775,0.4297313,1
0.62055093,0.6255188,0.42572805,1
0.6377874,0.65606344,0.4707418,1
0.58227235,0.6607731,0.44263133,1
0.56469345,0.6498424,0.4046319,1
0.6117899,0.6233038,0.4289157,1
0.5839164,0.6537156,0.43282416,1
0.6141647,0.62301797,0.45004657,1
0.5647883,0.6335076,0.40365317,1
0.63022447,0.6461436,0.4439666,1
0.5740785,0.62931025,0.3777136,1
0.6033236,0.6113607,0.41024664,1
0.5863641,0.64484596,0.39959192,1
0.5505281,0.6348144,0.42634544,1
0.55866814,0.64847684,0.44214997,1
0.53227973,0.59420395,0.41683635,1
0.62011206,0.667914,0.42806903,1
0.57942265,0.6498445,0.42243528,1
0.60534984,0.61526257,0.41095072,1
0.53803325,0.5922016,0.39611465,1
0.6139479,0.63006634,0.4600471,1
0.60612506,0.6773727,0.46470752,1
0.5901746,0.60084337,0.40175402,1
0.5855334,0.66131544,0.44624957,1
0.56960195,0.62428355,0.39491224,1
0.5721106,0.6591841,0.41558492,1
0.566753,0.644647,0.40860197,1
0.6274711,0.64201,0.46675897,1
0.5587962,0.6287451,0.43247384,1
0.5648225,0.62479806,0.41110232,1
